21	11	7	35	40	52	85	12	33	82
47	46	69	80	24	79	13	77	25	35
85	51	45	91	59	85	83	96	30	5
61	43	24	42	79	54	75	22	66	88
66	31	36	61	34	75	57	21	28	29
53	47	42	79	90	41	98	15	17	41
30	30	12	32	57	11	59	79	48	50
69	39	97	24	15	100	68	25	42	27
98	73	8	25	14	88	6	50	24	61
97	20	72	15	87	65	46	21	27	86
82	60	22	52	15	55	93	78	34	59
63	11	48	36	43	7	96	53	15	10
74	26	67	83	69	98	55	25	99	84
35	34	25	20	93	78	75	85	30	17
12	61	44	30	98	48	91	100	3	52
17	4	94	81	40	33	75	9	63	89
50	58	29	88	10	11	96	13	57	99
32	81	94	66	80	65	97	84	82	16
79	44	13	95	55	26	53	62	7	47
68	77	8	7	86	65	15	68	90	37
36	41	84	27	88	97	47	7	25	31
48	15	39	69	9	64	33	21	3	69
87	20	54	99	48	41	52	94	65	5
33	80	97	58	22	67	57	21	49	79
1	52	75	84	51	59	5	43	68	12
40	65	8	29	16	57	13	96	98	90
62	20	20	61	12	42	25	32	57	97
93	40	72	50	33	75	63	78	71	14
27	33	55	38	35	92	47	71	100	66
18	50	74	54	61	64	75	54	51	87
28	12	52	51	21	24	83	4	99	80
52	51	28	82	46	3	61	30	60	36
41	11	100	28	46	92	20	28	13	17
39	30	55	54	31	82	83	87	84	39
84	75	100	47	60	83	76	34	39	12
56	19	91	62	34	94	15	63	56	14
75	78	88	36	89	52	47	75	16	27
97	28	3	31	84	6	52	13	23	85
37	61	32	45	61	81	18	36	10	41
24	91	77	3	45	46	13	34	55	76
43	74	12	84	81	28	21	53	6	75
7	66	91	52	64	32	40	85	40	1
3	98	64	58	89	60	77	15	20	62
50	24	59	79	96	84	50	28	20	20
62	17	97	79	17	92	88	100	80	95
87	21	81	93	24	70	82	51	8	99
39	87	91	47	2	80	57	18	13	37
96	76	24	78	13	22	2	14	28	34
28	72	57	63	37	83	98	89	64	26
64	52	98	19	44	26	10	41	84	15
64	70	94	99	50	75	15	48	86	79
24	55	25	79	81	53	38	29	9	4
20	20	85	64	21	88	10	48	18	63
46	85	71	41	61	94	97	91	24	21
87	87	96	100	47	81	52	42	84	23
71	72	82	42	49	10	38	39	51	32
43	72	93	5	56	24	89	63	36	94
53	47	49	61	97	29	89	47	13	58
46	33	24	74	21	50	24	50	35	51
76	54	66	1	45	55	65	76	97	59
62	68	53	30	92	67	12	48	41	85
57	8	85	51	28	74	35	40	10	9
34	12	93	35	73	47	100	18	56	50
4	59	13	20	9	32	61	88	81	33
86	87	14	96	56	86	31	27	22	20
46	30	66	20	53	86	17	7	49	77
84	19	54	81	66	84	67	31	11	38
24	50	38	99	28	9	61	41	38	15
60	76	92	52	66	90	5	64	24	53
18	31	9	20	21	32	27	78	87	98
44	67	29	61	97	41	19	99	87	89
50	20	59	17	42	55	67	54	15	8
20	92	4	95	13	64	67	21	6	65
27	99	89	78	1	58	11	30	31	31
56	94	23	68	27	6	88	74	84	81
93	66	47	29	81	26	76	51	90	69
67	48	47	48	16	9	31	95	100	14
25	89	71	83	29	13	67	16	59	30
42	30	47	57	43	69	59	21	57	21
88	96	6	44	77	93	98	26	42	86
26	20	89	44	54	36	10	90	14	83
100	60	100	44	6	94	80	75	47	26
37	13	37	39	42	51	30	82	97	28
86	97	43	95	8	50	78	26	58	34
70	47	100	57	68	58	38	34	87	65
90	100	53	2	32	19	98	45	2	27
83	34	58	50	10	22	35	27	53	8
16	73	57	35	23	73	70	41	91	55
60	53	78	64	15	94	97	39	49	16
86	12	91	49	64	1	94	72	71	5
61	4	16	14	5	45	5	15	20	59
40	73	9	51	70	69	15	76	6	91
60	95	25	2	66	72	2	72	39	53
8	61	67	40	14	3	60	83	72	87
56	16	9	65	66	69	100	78	54	57
79	94	67	37	89	16	4	73	97	55
34	43	95	78	97	96	27	9	38	52
18	7	94	47	46	93	72	18	96	59
61	7	100	4	88	43	64	23	75	83
7	21	74	3	41	28	37	84	2	73
32	14	53	83	60	92	9	46	54	41
62	83	47	74	85	55	42	64	86	42
25	14	72	97	55	18	42	86	91	42
72	15	12	3	65	50	31	14	28	72
17	38	89	95	15	96	19	96	78	9
90	37	76	93	23	76	28	75	12	19
39	72	34	29	76	92	58	75	65	79
87	60	79	96	24	70	99	31	73	80
15	69	41	90	62	3	9	53	61	89
44	63	28	50	11	90	58	85	9	85
100	24	34	76	56	69	73	98	69	66
19	42	92	43	34	62	69	22	87	11
80	28	73	40	56	9	92	56	96	61
13	44	9	61	25	40	47	63	36	97
48	3	3	26	64	71	82	48	98	36
38	67	69	99	18	86	51	5	89	74
65	42	34	22	29	20	39	5	89	51
94	50	18	67	97	6	50	59	62	53
51	41	100	54	100	14	48	81	11	53
45	75	71	58	13	5	91	19	66	10
2	59	16	45	51	59	9	64	18	56
32	4	16	74	25	43	13	12	59	42
6	34	98	63	78	90	38	89	91	73
27	11	62	81	23	25	57	29	17	49
66	48	75	39	10	19	50	42	50	7
57	75	48	48	36	96	73	17	84	9
